CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V13, 5M3",1,111291003,111341001,054100000,057882999,130541000,130578830,129100000,133999999,De la Calle 129 Par hasta la Calle 134 Impar,De la Cra 54  hasta la Cra 57z
"V13, 5M4",1,111341003,111381001,054100000,057882999,130541000,130578830,134100000,137999999,De la Calle 134 Par hasta la Calle 138 Impar,De la Cra 54  hasta la Cra 57z
"V13, 6M1",1,111291000,111341001,058100000,071999999,130581000,130721001,129100000,133999999,De la Calle 129  hasta la Calle 134 Impar,De la Cra 58  hasta la Cra 72 Par
"V13, 6M2",1,111341003,111381001,058100000,071999999,130581000,130721001,134100000,137999999,De la Calle 134 Par hasta la Calle 138 Impar,De la Cra 58  hasta la Cra 72 Par
"V13, 6M3",1,111381003,111471001,058100000,071999999,130581000,130721001,138100000,146999999,De la Calle 138 Par hasta la Calle 147 Impar,De la Cra 58  hasta la Cra 72 Par
"V13, 9M2",1,111321000,111388830,091100000,099999999,130911000,131001001,132100000,138882999,De la Calle 132  hasta la Calle 138z,De la Cra 91  hasta la Cra 100 Par
"V13, 9M3",1,111391000,111448830,091100000,103882999,130911000,131038830,139100000,144882999,De la Calle 139  hasta la Calle 144z,De la Cra 91  hasta la Cra 103z
"V13,10M1",1,111311003,111321580,118100000,125882999,131181000,131258830,131100000,132157999,De la Calle 131 Par hasta la Calle 132b,De la Cra 118  hasta la Cra 125z
"V13,10M1",1,111321870,111388830,118100000,126882999,131181000,131268830,132187000,138882999,De la Calle 132c  hasta la Calle 138z,De la Cra 118  hasta la Cra 126z
"V13,10M2",1,111321000,111388830,104100000,117882999,131041000,131178830,132100000,138882999,De la Calle 132  hasta la Calle 138z,De la Cra 104  hasta la Cra 117z
"V13,10M3",1,111321000,111388830,100100000,103882999,131001003,131038830,132100000,138882999,De la Calle 132  hasta la Calle 138z,De la Cra 100 Impar hasta la Cra 103z
"V13,11M1",1,111391000,111418830,104100000,126882999,131041000,131268830,139100000,141882999,De la Calle 139  hasta la Calle 141z,De la Cra 104  hasta la Cra 126z
"V13,11M2",1,111421000,111451001,104100000,126882999,131041000,131268830,142100000,144999999,De la Calle 142  hasta la Calle 145 Impar,De la Cra 104  hasta la Cra 126z
"V13,13M1",1,111291000,111321580,126100000,139882999,131261000,131398830,129100000,132157999,De la Calle 129  hasta la Calle 132b,De la Cra 126  hasta la Cra 139z
